VKEY;REAL;PZN;UER;RGN;IND;TNP;NNP;ADR;RKC;NAMEP;NAMEN;NEWNUM;NEWKS;PERMFO;SROK;AT1;AT2;TELEF;REGN;OKPO;DT_IZM;CKS;KSNP;DATE_IN;DATE_CH;VKEYDEL;DT_IZMR
;;20;4;07;357433;2;ИНОЗЕМЦЕВО;ул Гагарина, 209;040708000;"КБ ""КОНТИНЕНТАЛЬ""ООО";"КБ ""КОНТИНЕНТАЛЬ""ООО";040708744;;;00;;;;3184;;30.06.2018;;30101810900000000744;;;;
;;20;4;63;413857;1;БАЛАКОВО;ул Факел Социализма, 21;046311001;"АО ""БАЛАКОВО-БАНК""";"АО ""БАЛАКОВО-БАНК""";046311890;;;00;;;;444;;30.06.2018;;30101810022026311890;;;;
;;20;4;45;125047;1;МОСКВА;ул Лесная, 5;044525000;"ООО ""ЧАЙНАСЕЛЬХОЗБАНК""";"ООО ""ЧАЙНАСЕЛЬХОЗБАНК""";044525673;;;00;;;;3529;;30.06.2018;;30101810900000000673;;;;
;;20;4;45;119530;1;МОСКВА;Очаковское ш, 34;044525000;"ООО ""НКО ""ГЛОБАЛ ЭКСЧЕЙНДЖ""";"ООО ""НКО ""ГЛОБАЛ ЭКСЧЕЙНДЖ""";044525054;;;00;;;;3533-К;;30.06.2018;;30103810445250000054;;;;
;;20;4;45;109052;1;МОСКВА;ул Смирновская, 10, стр 22;044525000;"ПАО ""ПРОМСВЯЗЬБАНК""";"ПАО ""ПРОМСВЯЗЬБАНК""";044525555;;;00;;;;3251;;30.06.2018;;30101810400000000555;;;;
;;30;4;04;660077;1;КРАСНОЯРСК;ул Молокова, 1, к 4;040407001;"ФПАО ""ДАЛЬНЕВОСТОЧНЫЙ БАНК"" ""КРАСНОЯРСКИЙ""";"ФПАО ""ДАЛЬНЕВОСТОЧНЫЙ БАНК"" ""К";040407404;;;00;;;;843/17;;30.06.2018;;30101810850040000404;;;;
;;40;0;00;003148;;;П/П 03148;;ПУ БАНКА РОССИИ N 03148;ПУ БАНКА РОССИИ N 03148;040012002;;;00;;;;;;30.06.2018;;;;;;
;;40;0;00;083604;;;П/П 83604;;ПУ БАНКА РОССИИ N 83604;ПУ БАНКА РОССИИ N 83604;040021002;;;00;;;;;;30.06.2018;;;;;;
;;40;0;00;083524;;;П/П 83524;;ПУ БАНКА РОССИИ N 83524;ПУ БАНКА РОССИИ N 83524;040031002;;;00;;;;;;30.06.2018;;;;;;
;;40;0;00;468320;1;БАЙКОНУР;П/П 25631;;ПУ БАНКА РОССИИ N 25631;ПУ БАНКА РОССИИ N 25631;040037002;;;00;;;;;;30.06.2018;;;;;;
;;40;0;00;010513;;;П/П 10513;;ПУ БАНКА РОССИИ N 10513;ПУ БАНКА РОССИИ N 10513;040041002;;;00;;;;;;30.06.2018;;;;;;
;;40;0;00;064106;;;П/П 64106;;ПУ БАНКА РОССИИ N 64106;ПУ БАНКА РОССИИ N 64106;040047002;;;00;;;;;;30.06.2018;;;;;;
;;30;4;63;410002;1;САРАТОВ;ул им. Мичурина И.В., 150/154;046311001;"САРАТОВСКИЙ ФИЛИАЛ ПАО ""МЕТКОМБАНК""";"САРАТОВСКИЙ ФИЛИАЛ ПАО ""МЕТКОМ";046311887;;;00;;;;2443/6;;30.06.2018;;30101810663110000887;;;;
;;40;0;00;043192;;;П/П 43192;;ПУ БАНКА РОССИИ N 43192;ПУ БАНКА РОССИИ N 43192;040001002;;;00;;;;;;30.06.2018;;;;;;
;;20;4;45;127051;1;МОСКВА;Малый Каретный переулок, дом;044525000;"РНКО ""Р-ИНКАС"" (ООО)";"РНКО ""Р-ИНКАС"" (ООО)";044525063;;;00;;;;3536-К;;30.06.2018;;30103810245250000063;;;;
;;30;4;45;123100;1;МОСКВА;1-й Красногвард пр-д, 7, стр 1;044525000;"РФ АО ""РОССЕЛЬХОЗБАНК"" - ""ЦКБ""";"РФ АО ""РОССЕЛЬХОЗБАНК"" - ""ЦКБ""";044525720;;;00;;;;3349/79;;30.06.2018;;30101810645250000720;;;;
;;30;4;64;693009;1;ЮЖНО-САХАЛИНСК;ул Амурская, 88;046401001;"ФИЛИАЛ ""ДАЛЬНЕВОСТОЧНЫЙ"" БАНКА ВТБ (ПАО)";"ФИЛИАЛ ""ДАЛЬНЕВОСТОЧНЫЙ"" БАНКА";046401818;;;00;;;;1000/86;;30.06.2018;;30101810364010000818;;;;
;;10;0;01;659300;1;БИЙСК;ул. Владимира Ленина, 127;;РКЦ БИЙСК;РКЦ БИЙСК;040147000;;;00;;;;;;30.06.2018;;;;;;
;;30;4;50;630099;1;НОВОСИБИРСК;ул Семьи Шамшиных, 26, 26/1;045004001;"НОВОСИБИРСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";"НОВОСИБИРСКИЙ ФИЛИАЛ АБ ""РОССИ";045004701;;;00;;;;328/24;;30.06.2018;;30101810950040000701;;;;
;;30;4;07;355003;1;СТАВРОПОЛЬ;ул Ленина, 359;040702001;"СТАВРОПОЛЬСКИЙ ФИЛИАЛ ПАО ""РГС БАНК""";"СТАВРОПОЛЬСКИЙ ФИЛИАЛ ПАО ""РГС";040702724;;;00;;;;3073/37;;30.06.2018;;30101810607020000724;;;;
;;20;4;01;656043;1;БАРНАУЛ;ул Льва Толстого, 38 А;040173001;"ООО КБ ""АЛТАЙКАПИТАЛБАНК""";"ООО КБ ""АЛТАЙКАПИТАЛБАНК""";040173771;;;00;;;;2659;;30.06.2018;;30101810900000000771;;;;
